"order_id","tahun","kuartal","bulan","nama_bulan","customer_name","segment","category","sub_category","product_name","country","region","state","city","ship_mode","sales","quantity","discount","profit"
US-2015-118983,2015,4,11,November,Harold Pawlan,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,United States,Central,Texas,Fort Worth,Standard Class,2.54,3,0.80,-3.82
CA-2014-105893,2014,4,11,November,Pete Kriz,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",United States,Central,Wisconsin,Madison,Standard Class,665.88,6,0.00,13.32
CA-2014-167164,2014,2,5,Mei,Alejandro Grove,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,United States,West,Utah,West Jordan,Second Class,55.50,2,0.00,9.99
CA-2014-143336,2014,3,8,Agustus,Zuschuss Donatelli,Consumer,Office Supplies,Art,Newell 341,United States,West,California,San Francisco,Second Class,8.56,2,0.00,2.48
CA-2014-143336,2014,3,8,Agustus,Zuschuss Donatelli,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,United States,West,California,San Francisco,Second Class,213.48,3,0.20,16.01
CA-2014-143336,2014,3,8,Agustus,Zuschuss Donatelli,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",United States,West,California,San Francisco,Second Class,22.72,4,0.20,7.38
CA-2016-137330,2016,4,12,Desember,Ken Black,Corporate,Office Supplies,Art,Newell 318,United States,Central,Nebraska,Fremont,Standard Class,19.46,7,0.00,5.06
CA-2016-137330,2016,4,12,Desember,Ken Black,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",United States,Central,Nebraska,Fremont,Standard Class,60.34,7,0.00,15.69
US-2017-156909,2017,3,7,Juli,Sandra Flanagan,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",United States,East,Pennsylvania,Philadelphia,Second Class,71.37,2,0.30,-1.02
CA-2015-106320,2015,3,9,September,Emily Burns,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,United States,West,Utah,Orem,Standard Class,1044.63,3,0.00,240.26
CA-2016-121755,2016,1,1,Januari,Eric Hoffmann,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,United States,West,California,Los Angeles,Second Class,11.65,2,0.20,4.22
CA-2016-121755,2016,1,1,Januari,Eric Hoffmann,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,United States,West,California,Los Angeles,Second Class,90.57,3,0.00,11.77
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",United States,East,Pennsylvania,Philadelphia,Standard Class,3083.43,7,0.50,-1665.05
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,United States,East,Pennsylvania,Philadelphia,Standard Class,9.62,2,0.70,-7.05
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",United States,East,Pennsylvania,Philadelphia,Standard Class,124.20,3,0.20,15.53
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,United States,East,Pennsylvania,Philadelphia,Standard Class,3.26,2,0.20,1.10
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",United States,East,Pennsylvania,Philadelphia,Standard Class,86.30,6,0.20,9.71
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",United States,East,Pennsylvania,Philadelphia,Standard Class,6.86,6,0.70,-5.72
US-2015-150630,2015,3,9,September,Tracy Blumstein,Consumer,Office Supplies,Art,Lumber Crayons,United States,East,Pennsylvania,Philadelphia,Standard Class,15.76,2,0.20,3.55
CA-2017-107727,2017,4,10,Oktober,Matt Abelman,Home Office,Office Supplies,Paper,Easy-staple paper,United States,Central,Texas,Houston,Second Class,29.47,3,0.20,9.95
CA-2016-117590,2016,4,12,Desember,Gene Hale,Corporate,Technology,Phones,GE 30524EE4,United States,Central,Texas,Richardson,First Class,1097.54,7,0.20,123.47
CA-2016-117590,2016,4,12,Desember,Gene Hale,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",United States,Central,Texas,Richardson,First Class,190.92,5,0.60,-147.96
CA-2015-117415,2015,4,12,Desember,Steve Nguyen,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",United States,Central,Texas,Houston,Standard Class,113.33,9,0.20,35.42
CA-2015-117415,2015,4,12,Desember,Steve Nguyen,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",United States,Central,Texas,Houston,Standard Class,532.40,3,0.32,-46.98
CA-2015-117415,2015,4,12,Desember,Steve Nguyen,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",United States,Central,Texas,Houston,Standard Class,212.06,3,0.30,-15.15
CA-2015-117415,2015,4,12,Desember,Steve Nguyen,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,United States,Central,Texas,Houston,Standard Class,371.17,4,0.20,41.76
CA-2017-120999,2017,3,9,September,Linda Cazamias,Corporate,Technology,Phones,Panasonic Kx-TS550,United States,Central,Illinois,Naperville,Standard Class,147.17,4,0.20,16.56
CA-2016-101343,2016,3,7,Juli,Ruben Ausman,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",United States,West,California,Los Angeles,Standard Class,77.88,2,0.00,3.89
CA-2017-139619,2017,3,9,September,Erin Smith,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",United States,South,Florida,Melbourne,Standard Class,95.62,2,0.20,9.56
CA-2016-118255,2016,1,3,Maret,Odella Nelson,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",United States,Central,Minnesota,Eagan,First Class,45.98,2,0.00,19.77
CA-2016-118255,2016,1,3,Maret,Odella Nelson,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,United States,Central,Minnesota,Eagan,First Class,17.46,2,0.00,8.21
CA-2014-146703,2014,4,10,Oktober,Patrick O'Donnell,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",United States,Central,Michigan,Westland,Second Class,211.96,4,0.00,8.48
CA-2016-169194,2016,2,6,Juni,Lena Hernandez,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,United States,East,Delaware,Dover,Standard Class,45.00,3,0.00,4.95
CA-2016-169194,2016,2,6,Juni,Lena Hernandez,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",United States,East,Delaware,Dover,Standard Class,21.80,2,0.00,6.10
CA-2015-115742,2015,2,4,April,Darren Powers,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",United States,Central,Indiana,New Albany,Standard Class,38.22,6,0.00,17.96
CA-2015-115742,2015,2,4,April,Darren Powers,Consumer,Office Supplies,Labels,Avery 485,United States,Central,Indiana,New Albany,Standard Class,75.18,6,0.00,35.33
CA-2015-115742,2015,2,4,April,Darren Powers,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,United States,Central,Indiana,New Albany,Standard Class,6.16,2,0.00,2.96
CA-2015-115742,2015,2,4,April,Darren Powers,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",United States,Central,Indiana,New Albany,Standard Class,89.99,1,0.00,17.10
CA-2016-105816,2016,4,12,Desember,Janet Molinari,Corporate,Office Supplies,Fasteners,Advantus Push Pins,United States,East,New York,New York City,Standard Class,15.26,7,0.00,6.26
CA-2016-105816,2016,4,12,Desember,Janet Molinari,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,United States,East,New York,New York City,Standard Class,1029.95,5,0.00,298.69
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,United States,East,New York,Troy,First Class,208.56,6,0.00,52.14
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Office Supplies,Paper,Xerox 232,United States,East,New York,Troy,First Class,32.40,5,0.00,15.55
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,United States,East,New York,Troy,First Class,319.41,5,0.10,7.10
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",United States,East,New York,Troy,First Class,14.56,2,0.00,6.99
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,United States,East,New York,Troy,First Class,30.00,2,0.00,3.30
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Office Supplies,Binders,Plastic Binding Combs,United States,East,New York,Troy,First Class,48.48,4,0.20,16.36
CA-2016-111682,2016,2,6,Juni,Ted Butterfield,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,United States,East,New York,Troy,First Class,1.68,1,0.00,0.84
CA-2015-135545,2015,4,11,November,Kunst Miller,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",United States,West,California,Los Angeles,Standard Class,13.98,2,0.00,6.15
CA-2015-135545,2015,4,11,November,Kunst Miller,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",United States,West,California,Los Angeles,Standard Class,25.82,6,0.20,9.36
CA-2015-135545,2015,4,11,November,Kunst Miller,Consumer,Office Supplies,Paper,Xerox 1943,United States,West,California,Los Angeles,Standard Class,146.73,3,0.00,68.96
CA-2015-135545,2015,4,11,November,Kunst Miller,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,United States,West,California,Los Angeles,Standard Class,79.76,4,0.00,22.33
US-2015-164175,2015,2,4,April,Paul Stevenson,Home Office,Furniture,Chairs,"Global Task Chair, Black",United States,Central,Illinois,Chicago,Standard Class,213.12,5,0.30,-15.22
CA-2014-106376,2014,4,12,Desember,Brendan Sweed,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",United States,West,Arizona,Gilbert,Standard Class,1113.02,8,0.20,111.30
CA-2014-106376,2014,4,12,Desember,Brendan Sweed,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,United States,West,Arizona,Gilbert,Standard Class,167.97,4,0.20,62.99
CA-2016-119823,2016,2,6,Juni,Karen Daniels,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",United States,South,Virginia,Springfield,First Class,75.88,2,0.00,35.66
CA-2016-106075,2016,3,9,September,Henry MacAllister,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,United States,East,New York,New York City,Standard Class,4.62,1,0.20,1.73
CA-2017-114440,2017,3,9,September,Tracy Blumstein,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",United States,Central,Michigan,Jackson,Second Class,19.05,3,0.00,8.76
US-2015-134026,2015,2,4,April,Joel Eaton,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,United States,South,Tennessee,Memphis,Standard Class,831.94,8,0.20,-114.39
US-2015-134026,2015,2,4,April,Joel Eaton,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",United States,South,Tennessee,Memphis,Standard Class,97.04,2,0.20,1.21
US-2015-134026,2015,2,4,April,Joel Eaton,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,United States,South,Tennessee,Memphis,Standard Class,72.78,1,0.20,-18.20
US-2017-118038,2017,4,12,Desember,Ken Brennan,Corporate,Office Supplies,Binders,Economy Binders,United States,Central,Texas,Houston,First Class,1.25,3,0.80,-1.93
US-2017-118038,2017,4,12,Desember,Ken Brennan,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",United States,Central,Texas,Houston,First Class,9.71,3,0.60,-5.82
US-2017-118038,2017,4,12,Desember,Ken Brennan,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",United States,Central,Texas,Houston,First Class,27.24,3,0.20,2.72
US-2014-147606,2014,4,11,November,Joel Eaton,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",United States,Central,Texas,Houston,Second Class,19.30,5,0.60,-14.48
CA-2016-127208,2016,2,6,Juni,Stewart Carmichael,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",United States,South,Alabama,Decatur,First Class,208.16,1,0.00,56.20
CA-2016-127208,2016,2,6,Juni,Stewart Carmichael,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,United States,South,Alabama,Decatur,First Class,16.74,3,0.00,8.04
CA-2014-139451,2014,4,10,Oktober,Duane Noonan,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",United States,West,California,San Francisco,Standard Class,14.90,5,0.00,4.17
CA-2014-139451,2014,4,10,Oktober,Duane Noonan,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",United States,West,California,San Francisco,Standard Class,21.39,1,0.00,6.20
CA-2015-149734,2015,3,9,September,Julie Creighton,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,United States,South,North Carolina,Durham,Standard Class,200.98,7,0.20,62.81
US-2017-119662,2017,4,11,November,Christopher Schild,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,United States,Central,Illinois,Chicago,First Class,230.38,3,0.20,-48.95
CA-2017-140088,2017,2,5,Mei,Patrick O'Donnell,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,United States,South,South Carolina,Columbia,Second Class,301.96,2,0.00,33.22
CA-2017-155558,2017,4,10,Oktober,Paul Gonzalez,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,United States,Central,Minnesota,Rochester,Standard Class,19.99,1,0.00,6.80
CA-2017-155558,2017,4,10,Oktober,Paul Gonzalez,Consumer,Office Supplies,Labels,Avery 511,United States,Central,Minnesota,Rochester,Standard Class,6.16,2,0.00,2.96
CA-2016-159695,2016,2,4,April,Gary Mitchum,Home Office,Office Supplies,Storage,Eldon Portable Mobile Manager,United States,Central,Texas,Houston,Second Class,158.37,7,0.20,13.86
CA-2016-109806,2016,3,9,September,Jim Sink,Corporate,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,United States,West,California,Los Angeles,Standard Class,20.10,3,0.00,6.63
CA-2016-109806,2016,3,9,September,Jim Sink,Corporate,Technology,Phones,Panasonic Kx-TS550,United States,West,California,Los Angeles,Standard Class,73.58,2,0.20,8.28
CA-2016-109806,2016,3,9,September,Jim Sink,Corporate,Office Supplies,Paper,Xerox 1995,United States,West,California,Los Angeles,Standard Class,6.48,1,0.00,3.11
CA-2015-149587,2015,1,1,Januari,Karl Braun,Consumer,Office Supplies,Paper,Xerox 1999,United States,Central,Minnesota,Minneapolis,Second Class,12.96,2,0.00,6.22
CA-2015-149587,2015,1,1,Januari,Karl Braun,Consumer,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",United States,Central,Minnesota,Minneapolis,Second Class,53.34,3,0.00,16.54
CA-2015-149587,2015,1,1,Januari,Karl Braun,Consumer,Office Supplies,Binders,Ibico Standard Transparent Covers,United States,Central,Minnesota,Minneapolis,Second Class,32.96,2,0.00,16.15
US-2017-109484,2017,4,11,November,Roger Barcio,Home Office,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,United States,West,Oregon,Portland,Standard Class,5.68,1,0.70,-3.79
CA-2017-161018,2017,4,11,November,Parhena Norris,Home Office,Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock",United States,East,New York,New York City,Second Class,96.53,7,0.00,40.54
CA-2017-157833,2017,2,6,Juni,Katherine Ducich,Consumer,Office Supplies,Binders,Trimflex Flexible Post Binders,United States,West,California,San Francisco,First Class,51.31,3,0.20,17.96
CA-2016-149223,2016,3,9,September,Elpida Rittenbach,Corporate,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,United States,Central,Minnesota,Saint Paul,Standard Class,77.88,6,0.00,22.59
CA-2016-158568,2016,3,8,Agustus,Rick Bensley,Home Office,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,United States,Central,Illinois,Chicago,Standard Class,64.62,7,0.20,22.62
CA-2016-158568,2016,3,8,Agustus,Rick Bensley,Home Office,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,United States,Central,Illinois,Chicago,Standard Class,95.98,3,0.20,-10.80
CA-2016-158568,2016,3,8,Agustus,Rick Bensley,Home Office,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,United States,Central,Illinois,Chicago,Standard Class,1.79,3,0.80,-3.04
CA-2016-129903,2016,4,12,Desember,Gary Zandusky,Consumer,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),United States,Central,Minnesota,Rochester,Second Class,23.92,4,0.00,11.72
CA-2014-154627,2014,4,10,Oktober,Sue Ann Reed,Consumer,Technology,Phones,Apple iPhone 5S,United States,Central,Illinois,Chicago,First Class,2735.95,6,0.20,341.99
US-2015-156867,2015,4,11,November,Lena Cacioppo,Consumer,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,United States,West,Colorado,Aurora,Standard Class,238.90,6,0.20,-26.88
US-2015-156867,2015,4,11,November,Lena Cacioppo,Consumer,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",United States,West,Colorado,Aurora,Standard Class,102.36,3,0.20,-3.84
US-2015-156867,2015,4,11,November,Lena Cacioppo,Consumer,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",United States,West,Colorado,Aurora,Standard Class,36.88,3,0.70,-25.82
CA-2017-119004,2017,4,11,November,Janet Martin,Consumer,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,United States,South,North Carolina,Charlotte,Standard Class,74.11,8,0.20,17.60
CA-2017-119004,2017,4,11,November,Janet Martin,Consumer,Technology,Phones,Speck Products Candyshell Flip Case,United States,South,North Carolina,Charlotte,Standard Class,27.99,1,0.20,2.10
CA-2017-119004,2017,4,11,November,Janet Martin,Consumer,Office Supplies,Art,Newell Chalk Holder,United States,South,North Carolina,Charlotte,Standard Class,3.30,1,0.20,1.07
CA-2015-129476,2015,4,10,Oktober,Pete Armstrong,Home Office,Technology,Accessories,Logitech Gaming G510s - Keyboard,United States,Central,Illinois,Orland Park,Standard Class,339.96,5,0.20,67.99
CA-2017-146780,2017,4,12,Desember,Cynthia Voltz,Corporate,Furniture,Furnishings,Magnifier Swing Arm Lamp,United States,East,New York,New York City,Standard Class,41.96,2,0.00,10.91
CA-2016-128867,2016,4,11,November,Clay Ludtke,Consumer,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",United States,Central,Iowa,Urbandale,Standard Class,75.96,2,0.00,22.79
CA-2016-128867,2016,4,11,November,Clay Ludtke,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",United States,Central,Iowa,Urbandale,Standard Class,27.24,6,0.00,13.35
CA-2014-115259,2014,3,8,Agustus,Ryan Crowe,Consumer,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",United States,East,Ohio,Columbus,Second Class,40.10,14,0.20,14.53
CA-2014-115259,2014,3,8,Agustus,Ryan Crowe,Consumer,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",United States,East,Ohio,Columbus,Second Class,4.72,2,0.20,1.65
CA-2014-115259,2014,3,8,Agustus,Ryan Crowe,Consumer,Office Supplies,Paper,Xerox 1921,United States,East,Ohio,Columbus,Second Class,23.98,3,0.20,7.49
CA-2014-115259,2014,3,8,Agustus,Ryan Crowe,Consumer,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",United States,East,Ohio,Columbus,Second Class,130.46,6,0.20,44.03
CA-2015-110457,2015,1,3,Maret,Dave Kipp,Consumer,Furniture,Tables,Hon Racetrack Conference Tables,United States,West,Washington,Seattle,Standard Class,787.53,3,0.00,165.38
US-2015-136476,2015,2,4,April,Greg Guthrie,Corporate,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,United States,South,Tennessee,Bristol,Standard Class,157.79,1,0.70,-115.72
CA-2016-103730,2016,2,6,Juni,Steven Cartwright,Consumer,Furniture,Furnishings,Artistic Insta-Plaque,United States,East,Delaware,Wilmington,First Class,47.04,3,0.00,18.35
CA-2016-103730,2016,2,6,Juni,Steven Cartwright,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,United States,East,Delaware,Wilmington,First Class,30.84,4,0.00,13.88
CA-2016-103730,2016,2,6,Juni,Steven Cartwright,Consumer,Office Supplies,Storage,"Companion Letter/Legal File, Black",United States,East,Delaware,Wilmington,First Class,226.56,6,0.00,63.44
CA-2016-103730,2016,2,6,Juni,Steven Cartwright,Consumer,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,United States,East,Delaware,Wilmington,First Class,115.02,9,0.00,51.76
CA-2016-103730,2016,2,6,Juni,Steven Cartwright,Consumer,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,United States,East,Delaware,Wilmington,First Class,68.04,7,0.00,19.73
US-2014-152030,2014,4,12,Desember,Alan Dominguez,Home Office,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,United States,Central,Texas,Houston,Second Class,600.56,3,0.30,-8.58
US-2014-134614,2014,3,9,September,Philip Fox,Consumer,Furniture,Tables,Bevis 44 x 96 Conference Tables,United States,Central,Illinois,Bloomington,Standard Class,617.70,6,0.50,-407.68
CA-2016-114104,2016,4,11,November,Nora Paige,Consumer,Office Supplies,Labels,Avery 519,United States,Central,Oklahoma,Edmond,Standard Class,14.62,2,0.00,6.87
US-2017-107272,2017,4,11,November,Troy Staebel,Consumer,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",United States,West,Arizona,Phoenix,Standard Class,2.39,2,0.70,-1.83
US-2017-107272,2017,4,11,November,Troy Staebel,Consumer,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",United States,West,Arizona,Phoenix,Standard Class,243.99,7,0.20,30.50
US-2016-125969,2016,4,11,November,Lindsay Shagiari,Home Office,Furniture,Chairs,"Global Task Chair, Black",United States,West,California,Los Angeles,Second Class,81.42,2,0.20,-9.16
US-2016-125969,2016,4,11,November,Lindsay Shagiari,Home Office,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,United States,West,California,Los Angeles,Second Class,238.56,3,0.00,26.24
US-2017-164147,2017,1,2,Februari,Dorothy Wardle,Corporate,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,United States,East,Ohio,Columbus,First Class,59.97,5,0.40,-11.99
US-2017-164147,2017,1,2,Februari,Dorothy Wardle,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",United States,East,Ohio,Columbus,First Class,78.30,2,0.20,29.36
US-2017-164147,2017,1,2,Februari,Dorothy Wardle,Corporate,Office Supplies,Fasteners,Staples,United States,East,Ohio,Columbus,First Class,21.46,9,0.20,6.97
CA-2016-145583,2016,4,10,Oktober,Lena Creighton,Consumer,Office Supplies,Paper,Xerox 195,United States,West,California,Roseville,Standard Class,20.04,3,0.00,9.62
